task,method,seed,step,success_rate,mean_return,mean_steps
coffee_office,Q-learning,7,300,0.35,0.276984435392434,41.3
coffee_office,Q-learning,7,400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,100,0.3,0.23632745787959716,42.55
coffee_office,QRM,7,200,0.35,0.2796755913790364,41.0
coffee_office,QRM,7,300,0.5,0.397822768788599,37.2
coffee_office,QRM,7,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,7,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,100,0.25,0.20516599841618327,42.75
coffee_office,Q-learning,8,200,0.65,0.559435747176865,28.35
coffee_office,Q-learning,8,300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,8,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,100,0.25,0.20516599841618327,42.75
coffee_office,QRM,8,200,0.65,0.559435747176865,28.35
coffee_office,QRM,8,300,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1600,1.0,0.9702990000000004,4.0
